"Provincias	Condición jurídica	Periodo	Total"
"Total Nacional	Sociedades comanditarias	2006	98"
"Total Nacional	Sociedades comanditarias	2005	100"
"Total Nacional	Sociedades comanditarias	2004	114"
"Total Nacional	Sociedades comanditarias	2003	112"
"Total Nacional	Sociedades comanditarias	2002	117"
"Total Nacional	Sociedades comanditarias	2001	127"
"Total Nacional	Sociedades comanditarias	2000	127"
"Total Nacional	Sociedades comanditarias	1999	118"
"Total Nacional	Comunidades de bienes	2024	108.994"
"Total Nacional	Comunidades de bienes	2023	107.171"
"Total Nacional	Comunidades de bienes	2022	114.621"
"Total Nacional	Comunidades de bienes	2021	113.358"
"Total Nacional	Comunidades de bienes	2020	116.504"
"Total Nacional	Comunidades de bienes	2019	116.391"
"Total Nacional	Comunidades de bienes	2018	116.119"
"Total Nacional	Comunidades de bienes	2017	115.377"
"Total Nacional	Comunidades de bienes	2016	115.823"
"Total Nacional	Comunidades de bienes	2015	116.045"
"Total Nacional	Comunidades de bienes	2014	111.771"
"Total Nacional	Comunidades de bienes	2013	109.117"
"Total Nacional	Comunidades de bienes	2012	113.823"
"Total Nacional	Comunidades de bienes	2011	114.064"
"Total Nacional	Comunidades de bienes	2010	114.186"
"Total Nacional	Comunidades de bienes	2009	114.831"
"Total Nacional	Comunidades de bienes	2008	113.378"
"Total Nacional	Comunidades de bienes	2007	107.591"
"Total Nacional	Comunidades de bienes	2006	102.592"
"Total Nacional	Comunidades de bienes	2005	94.898"
"Total Nacional	Comunidades de bienes	2004	88.737"
"Total Nacional	Comunidades de bienes	2003	79.248"
"Total Nacional	Comunidades de bienes	2002	76.631"
"Total Nacional	Comunidades de bienes	2001	75.503"
"Total Nacional	Comunidades de bienes	2000	73.511"
"Total Nacional	Comunidades de bienes	1999	71.809"
"Total Nacional	Sociedades cooperativas	2024	19.114"
"Total Nacional	Sociedades cooperativas	2023	18.743"
"Total Nacional	Sociedades cooperativas	2022	21.131"
"Total Nacional	Sociedades cooperativas	2021	20.808"
"Total Nacional	Sociedades cooperativas	2020	21.111"
"Total Nacional	Sociedades cooperativas	2019	20.830"
"Total Nacional	Sociedades cooperativas	2018	20.707"
"Total Nacional	Sociedades cooperativas	2017	20.656"
"Total Nacional	Sociedades cooperativas	2016	20.571"
"Total Nacional	Sociedades cooperativas	2015	20.719"
"Total Nacional	Sociedades cooperativas	2014	20.761"
"Total Nacional	Sociedades cooperativas	2013	20.990"
"Total Nacional	Sociedades cooperativas	2012	21.764"
"Total Nacional	Sociedades cooperativas	2011	22.273"
"Total Nacional	Sociedades cooperativas	2010	22.702"
"Total Nacional	Sociedades cooperativas	2009	23.483"
"Total Nacional	Sociedades cooperativas	2008	24.516"
"Total Nacional	Sociedades cooperativas	2007	24.949"
"Total Nacional	Sociedades cooperativas	2006	25.328"
"Total Nacional	Sociedades cooperativas	2005	25.801"
"Total Nacional	Sociedades cooperativas	2004	25.557"
